time,norm,x,y,z,touch
0,1114.0260320118198,207.0,-37.0,-1094.0,0.0
1,1114.0260320118198,207.0,-37.0,-1094.0,0.0
2,1114.0260320118198,207.0,-37.0,-1094.0,0.0
3,1113.2115701878058,202.0,-40.0,-1094.0,0.0
4,1111.246147349902,202.0,-40.0,-1092.0,0.0
5,1111.246147349902,202.0,-40.0,-1092.0,0.0
6,1111.246147349902,202.0,-40.0,-1092.0,0.0
7,1111.7953948456523,205.0,-40.0,-1092.0,0.0
8,1112.6738066477524,205.0,-37.0,-1093.0,0.0
9,1112.6738066477524,205.0,-37.0,-1093.0,0.0
10,1112.6738066477524,205.0,-37.0,-1093.0,0.0
11,1112.6738066477524,205.0,-37.0,-1093.0,0.0
12,1112.3407751224443,203.0,-38.0,-1093.0,0.0
13,1116.271472357867,203.0,-38.0,-1097.0,0.0
14,1116.271472357867,203.0,-38.0,-1097.0,0.0
15,1116.271472357867,203.0,-38.0,-1097.0,0.0
16,1116.271472357867,203.0,-38.0,-1097.0,0.0
17,1113.2569335063672,203.0,-36.0,-1094.0,0.0
18,1113.2569335063672,203.0,-36.0,-1094.0,0.0
19,1113.2569335063672,203.0,-36.0,-1094.0,0.0
20,1113.2569335063672,203.0,-36.0,-1094.0,0.0
21,1113.4724962925668,204.0,-37.0,-1094.0,0.0
22,1110.5251010220345,204.0,-37.0,-1091.0,0.0
23,1110.5251010220345,204.0,-37.0,-1091.0,0.0
24,1110.5251010220345,204.0,-37.0,-1091.0,0.0
25,1111.2668446417358,208.0,-37.0,-1091.0,0.0
26,1115.129588881938,208.0,-35.0,-1095.0,0.0
27,1115.129588881938,208.0,-35.0,-1095.0,0.0
28,1115.129588881938,208.0,-35.0,-1095.0,0.0
29,1115.129588881938,208.0,-35.0,-1095.0,0.0
30,1114.158875564881,202.0,-39.0,-1095.0,0.0
31,1111.2106011013393,202.0,-39.0,-1092.0,0.0
32,1111.2106011013393,202.0,-39.0,-1092.0,0.0
33,1111.2106011013393,202.0,-39.0,-1092.0,0.0
34,1112.1303880391004,207.0,-39.0,-1092.0,0.0
35,1111.3352329517859,207.0,-44.0,-1091.0,0.0
36,1111.3352329517859,207.0,-44.0,-1091.0,0.0
37,1111.3352329517859,207.0,-44.0,-1091.0,0.0
38,1111.3352329517859,207.0,-44.0,-1091.0,0.0
39,1111.2205001708708,207.0,-41.0,-1091.0,0.0
40,1114.166055846255,207.0,-41.0,-1094.0,0.0
41,1114.166055846255,207.0,-41.0,-1094.0,0.0
42,1114.166055846255,207.0,-41.0,-1094.0,0.0
43,1113.9807000123476,206.0,-41.0,-1094.0,0.0
44,1117.8032027150396,206.0,-38.0,-1098.0,0.0
45,1117.8032027150396,206.0,-38.0,-1098.0,0.0
46,1117.8032027150396,206.0,-38.0,-1098.0,0.0
47,1117.8032027150396,206.0,-38.0,-1098.0,0.0
48,1118.057690819217,207.0,-40.0,-1098.0,0.0
49,1117.0756464984813,207.0,-40.0,-1097.0,0.0
50,1117.0756464984813,207.0,-40.0,-1097.0,0.0
51,1117.0756464984813,207.0,-40.0,-1097.0,0.0
52,1116.3413456465723,203.0,-40.0,-1097.0,0.0
53,1107.4628661946188,203.0,-39.0,-1088.0,0.0
54,1107.4628661946188,203.0,-39.0,-1088.0,0.0
55,1107.4628661946188,203.0,-39.0,-1088.0,0.0
56,1107.4628661946188,203.0,-39.0,-1088.0,0.0
57,1107.7626099485394,205.0,-37.0,-1088.0,0.0
58,1115.620903353823,205.0,-37.0,-1096.0,0.0
59,1115.620903353823,205.0,-37.0,-1096.0,0.0
60,1115.620903353823,205.0,-37.0,-1096.0,0.0
61,1115.2551277622533,203.0,-37.0,-1096.0,0.0
62,1113.2897197046238,203.0,-37.0,-1094.0,0.0
63,1113.2897197046238,203.0,-37.0,-1094.0,0.0
64,1113.2897197046238,203.0,-37.0,-1094.0,0.0
65,1113.2897197046238,203.0,-37.0,-1094.0,0.0
66,1113.5605057651785,205.0,-34.0,-1094.0,0.0
67,1113.5605057651785,205.0,-34.0,-1094.0,0.0
68,1113.5605057651785,205.0,-34.0,-1094.0,0.0
69,1113.5605057651785,205.0,-34.0,-1094.0,0.0
70,1113.745033658961,206.0,-34.0,-1094.0,0.0
71,1113.944343313435,206.0,-40.0,-1094.0,0.0
72,1113.944343313435,206.0,-40.0,-1094.0,0.0
73,1113.944343313435,206.0,-40.0,-1094.0,0.0
74,1113.944343313435,206.0,-40.0,-1094.0,0.0
75,1113.5012348443984,205.0,-32.0,-1094.0,0.0
76,1116.4488344747376,205.0,-32.0,-1097.0,0.0
77,1116.4488344747376,205.0,-32.0,-1097.0,0.0
78,1116.4488344747376,205.0,-32.0,-1097.0,0.0
79,1115.9018774067906,202.0,-32.0,-1097.0,0.0
80,1113.176086699674,202.0,-39.0,-1094.0,0.0
81,1113.176086699674,202.0,-39.0,-1094.0,0.0
82,1113.176086699674,202.0,-39.0,-1094.0,0.0
83,1113.176086699674,202.0,-39.0,-1094.0,0.0
84,1113.9613996903124,207.0,-35.0,-1094.0,0.0
85,1118.8722000300124,207.0,-35.0,-1099.0,0.0
86,1118.8722000300124,207.0,-35.0,-1099.0,0.0
